host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
NANO0102.NANO0102,-1 bytes,-1 bytes,0,[System Process],,1969-12-31 23:59:59
NANO0102.NANO0102,9 GB,5.99 GB,41,System,,2021-10-28 12:26:25
NANO0102.NANO0102,33.61 KB,20 bytes,41,smss.exe,C:\Windows\System32\smss.exe,2021-10-28 12:26:25
NANO0102.NANO0102,8.32 MB,0 bytes,41,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-28 12:26:29
NANO0102.NANO0102,249.98 KB,0 bytes,41,wininit.exe,C:\Windows\System32\wininit.exe,2021-10-28 12:26:29
NANO0102.NANO0102,4.15 MB,0 bytes,41,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-28 12:26:29
NANO0102.NANO0102,881.02 KB,1.44 KB,41,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-10-28 12:26:30
NANO0102.NANO0102,68.04 MB,54.27 MB,41,services.exe,C:\Windows\System32\services.exe,2021-10-28 12:26:30
NANO0102.NANO0102,43.76 MB,100.45 MB,41,lsass.exe,C:\Windows\System32\lsass.exe,2021-10-28 12:26:30
NANO0102.NANO0102,343.61 KB,0 bytes,41,lsm.exe,C:\Windows\System32\lsm.exe,2021-10-28 12:26:30
NANO0102.NANO0102,104.34 MB,16.69 KB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:33
NANO0102.NANO0102,0 bytes,0 bytes,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:34
NANO0102.NANO0102,5.82 GB,83.17 MB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:34
NANO0102.NANO0102,504.97 MB,2.73 GB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:34
NANO0102.NANO0102,328.86 KB,3.17 KB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:34
NANO0102.NANO0102,26.07 GB,8.7 GB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:34
NANO0102.NANO0102,98.28 MB,56.99 MB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:39
NANO0102.NANO0102,561.46 KB,320 bytes,41,spoolsv.exe,C:\Windows\System32\spoolsv.exe,2021-10-28 12:26:41
NANO0102.NANO0102,434.31 KB,185.65 MB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:41
NANO0102.NANO0102,5.02 MB,1.65 MB,41,officeclicktorun.exe,C:\Program Files\Microsoft Office 15\ClientX64\officeclicktorun.exe,2021-10-28 12:26:42
NANO0102.NANO0102,1.32 GB,57.67 KB,41,CSFalconService.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,2021-10-28 12:26:46
NANO0102.NANO0102,4.35 MB,1.56 KB,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:26:47
NANO0102.NANO0102,735.55 KB,1.46 KB,41,HeciServer.exe,C:\Program Files\Intel\iCLS Client\HeciServer.exe,2021-10-28 12:26:47
NANO0102.NANO0102,22.14 MB,9.68 MB,41,CSFalconContainer.exe,C:\Program Files\CrowdStrike\CSFalconContainer.exe,2021-10-28 12:26:48
NANO0102.NANO0102,47.28 GB,10.52 GB,41,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\12.1.7061.6600.105\Bin\ccSvcHst.exe,2021-10-28 12:26:48
NANO0102.NANO0102,8.98 MB,8.48 MB,41,miragent.exe,C:\Program Files (x86)\MANDIANT\MANDIANT Intelligent Response Agent\miragent.exe,2021-10-28 12:26:52
NANO0102.NANO0102,22.1 MB,346.32 KB,41,CSFalconContainer.exe,C:\Program Files\CrowdStrike\CSFalconContainer.exe,2021-10-28 12:26:56
NANO0102.NANO0102,529 bytes,0 bytes,41,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-10-28 12:28:10
NANO0102.NANO0102,622.65 MB,250.81 MB,41,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-10-28 12:28:10
NANO0102.NANO0102,0 bytes,0 bytes,41,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-28 12:28:11
NANO0102.NANO0102,512.15 MB,273.83 MB,41,CcmExec.exe,C:\Windows\CCM\CcmExec.exe,2021-10-28 12:30:07
NANO0102.NANO0102,39.45 KB,5.45 KB,41,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-10-28 12:30:08
